u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
21761594,3297556863,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (-3.5269569 50.7255426, -3.5266948 50.7256206)",yes,asphalt,,,,,,,,20.386327912588143,0.2,0.4,0.3,0.9
21761594,497693629,0,42490982,secondary,2,20 mph,Paris Street,False,True,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (-3.5269569 50.7255426, -3.5268456 50.7254511)",yes,asphalt,B3183,,,,,,,12.841194547715132,0.2,0.3,0.7,0.9
21761594,376042422,0,596074182,unclassified,1,20 mph,High Street,False,True,8.551931363436312,32.1868,0.9565086590891522,"LINESTRING (-3.5269569 50.7255426, -3.5270691 50.7255131)",yes,asphalt,,6.6,,,,,,8.551931363436312,0.2,0.4,0.3,0.9
3297556863,21761594,0,4197043,unclassified,2,20 mph,Sidwell Street,False,True,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (-3.5266948 50.7256206, -3.5269569 50.7255426)",yes,asphalt,,,,,,,,20.386327912588143,0.2,0.4,0.3,0.9
3297556863,299022771,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,36.68326141578737,32.1868,4.1029161363302515,"LINESTRING (-3.5266948 50.7256206, -3.5265693 50.7256557, -3.526328 50.72573, -3.5262263 50.7257648)",yes,asphalt,,,,,,,,36.68326141578737,0.2,0.4,0.3,0.9
3297556863,3297556862,0,697870534,footway,,,,False,False,77.73724305974046,34.375197396878484,8.141162704726124,"LINESTRING (-3.5266948 50.7256206, -3.5267421 50.7256805, -3.5269251 50.7256686, -3.5270398 50.7257219, -3.5272712 50.7259224, -3.5273771 50.7260209, -3.5273811 50.726079)",yes,asphalt,,,,,,,,77.73724305974046,0.2,0.9,0.1,0.9
3297556863,6212403298,0,697870534,footway,,,,False,True,18.3648064163063,34.375197396878484,1.9232850457669302,"LINESTRING (-3.5266948 50.7256206, -3.5266536 50.7255676, -3.5267461 50.7255298, -3.526752 50.7254936)",yes,asphalt,,,,,,,,18.3648064163063,0.2,0.9,0.1,0.9
497693629,21761594,0,42490982,secondary,2,20 mph,Paris Street,False,False,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (-3.5268456 50.7254511, -3.5269569 50.7255426)",yes,asphalt,B3183,,,,,,,12.841194547715132,0.2,0.3,0.7,0.9
497693629,21761641,0,"[408884056, 25114997]",secondary,"['2', '1']",20 mph,Paris Street,False,True,53.5351880505618,32.1868,5.9877551350871325,"LINESTRING (-3.5268456 50.7254511, -3.5268075 50.7254146, -3.5266063 50.7252301, -3.5263396 50.7250994)",yes,paving_stones,B3183,,,,,,,53.5351880505618,0.2,0.3,0.7,1.1
497693629,6212425622,0,663718584,footway,,,,False,False,7.710813954550807,34.375197396878484,0.8075278787752828,"LINESTRING (-3.5268456 50.7254511, -3.526901 50.72543, -3.5269405 50.7254165)",yes,asphalt,,,,,,,,7.710813954550807,0.2,0.9,0.1,0.9
