u,v,key,osmid,highway,lanes,maxspeed,name_left,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,element,id,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,fhrs:id,name_right,smoking,source:addr,website,wheelchair,wikidata,addr:housename,opening_hours,phone,addr:unit,outdoor_seating,check_date,check_date:opening_hours,indoor_seating,contact:instagram,brand,brand:wikidata,building:levels,cocktails,addr:county,brand:wikipedia,contact:website,email,microbrewery,opening_hours:kitchen,fhrs:authority,fhrs:businesstype,fhrs:local_authority_id,fhrs:rating,contact:facebook,contact:phone,diet:vegan,diet:vegetarian,food,note,payment:debit_cards,payment:mastercard,payment:visa,real_ale,toilets,toilets:access,website:menu,url,brewery,building,operator,operator:wikidata,roof:shape,fhrs:rating_date,source,toilets:wheelchair,contact:email,building:part,level,room,dist_to_amenity,access_score
21761594,3297556863,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (292318.85870581574 92881.27037201845, 292337.53666303336 92889.56173359987)",yes,asphalt,,,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88237266717141,0.010539365446812783
21761594,497693629,0,42490982,secondary,2,20 mph,Paris Street,False,True,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (292318.85870581574 92881.27037201845, 292326.50427407154 92870.93399981034)",yes,asphalt,B3183,,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88237266717141,0.010539365446812783
21761594,376042422,0,596074182,unclassified,1,20 mph,High Street,False,True,8.551931363436312,32.1868,0.9565086590891522,"LINESTRING (292318.85870581574 92881.27037201845, 292310.871939417 92878.15359768135)",yes,asphalt,,6.6,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.30911549219647,0.01158626170940674
3297556863,21761594,0,4197043,unclassified,2,20 mph,Sidwell Street,False,True,20.386327912588143,32.1868,2.280151505751343,"LINESTRING (292337.53666303336 92889.56173359987, 292318.85870581574 92881.27037201845)",yes,asphalt,,,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88237266717141,0.010539365446812783
3297556863,299022771,0,4197043,unclassified,2,20 mph,Sidwell Street,False,False,36.68326141578737,32.1868,4.1029161363302515,"LINESTRING (292337.53666303336 92889.56173359987, 292346.4749535631 92893.28186529153, 292363.6762786263 92901.19219346429, 292370.9340484718 92904.91366372499)",yes,asphalt,,,,,,,,node,9773108270,Exeter,25,EX1 2JB,Paris Street,bar,,Cuckoo Taproom & Bottleshop,,,,,,,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:15-22:00",,,yes,,,yes,https://www.instagram.com/cuckootaproom/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.91364249783041,0.011246867993563543
3297556863,3297556862,0,697870534,footway,,,,False,False,77.73724305974046,32.1868,8.694684622735585,"LINESTRING (292337.53666303336 92889.56173359987, 292334.3356881712 92896.29114323758, 292321.39230129245 92895.23448899866, 292313.4191392132 92901.32821322817, 292297.5472514228 92923.95972647122, 292290.29901878716 92935.06663315435, 292290.15007581154 92941.53283105057)",yes,asphalt,,,,,,,,node,4396682517,Exeter,,EX4 6AB,Longbrook Street,bar,1110513,The Stand Off,,,https://www.thestandoff.co.uk,,,Portland House,,+44 1392 982159,2,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.98817607549237,0.021744719737491647
3297556863,6212403298,0,697870534,footway,,,,False,True,18.3648064163063,32.1868,2.054050203769952,"LINESTRING (292337.53666303336 92889.56173359987, 292340.3229414109 92883.60844854344, 292333.7075706455 92879.5400385235, 292333.20808394515 92875.52341036245)",yes,asphalt,,,,,,,,node,9773108270,Exeter,25,EX1 2JB,Paris Street,bar,,Cuckoo Taproom & Bottleshop,,,,,,,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:15-22:00",,,yes,,,yes,https://www.instagram.com/cuckootaproom/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.31940159519672,0.010715885259721504
497693629,21761594,0,42490982,secondary,2,20 mph,Paris Street,False,False,12.841194547715132,32.1868,1.4362502756339395,"LINESTRING (292326.50427407154 92870.93399981034, 292318.85870581574 92881.27037201845)",yes,asphalt,B3183,,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88237266717141,0.010539365446812783
497693629,21761641,0,"[408884056, 25114997]",secondary,"['2', '1']",20 mph,Paris Street,False,True,53.5351880505618,32.1868,5.9877551350871325,"LINESTRING (292326.50427407154 92870.93399981034, 292329.1096155345 92866.81992469373, 292342.88700715906 92846.01159870706, 292361.41095879074 92831.09016875815)",yes,paving_stones,B3183,,,,,,,node,9773108270,Exeter,25,EX1 2JB,Paris Street,bar,,Cuckoo Taproom & Bottleshop,,,,,,,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:15-22:00",,,yes,,,yes,https://www.instagram.com/cuckootaproom/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.031780917755704,0.018507626123265244
497693629,6212425622,0,663718584,footway,,,,False,False,7.710813954550807,32.1868,0.8624321223726157,"LINESTRING (292326.50427407154 92870.93399981034, 292322.54572061164 92868.66850392931, 292319.7268280054 92867.224923712)",yes,asphalt,,,,,,,,node,5136103023,Exeter,248,EX4 3PZ,High Street,bar,635089,Artigiano,,FHRS Open Data,,yes,,,"Mo-Th 08:00-23:00, Fr,Sa 08:00-01:00, Su 09:00-18:00",,,no,2024-10-24,2024-10-24,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.51292971399275,0.010927417613285037
