u,v,key,geometry
104804,283348151,0,"LINESTRING (-2.584859 51.463003, -2.584272 51.463371)"
104804,21591965,0,"LINESTRING (-2.584859 51.463003, -2.58525 51.463281)"
104804,282237615,0,"LINESTRING (-2.584859 51.463003, -2.58491 51.462961, -2.58497 51.462917)"
283348151,104804,0,"LINESTRING (-2.584272 51.463371, -2.584859 51.463003)"
283348151,859323256,0,"LINESTRING (-2.584272 51.463371, -2.583733 51.463691)"
283348151,283348057,0,"LINESTRING (-2.584272 51.463371, -2.585416 51.46423)"
21591965,104808,0,"LINESTRING (-2.58525 51.463281, -2.586081 51.463919)"
21591965,104804,0,"LINESTRING (-2.58525 51.463281, -2.584859 51.463003)"
21591965,21591966,0,"LINESTRING (-2.58525 51.463281, -2.586029 51.462914, -2.5864 51.462743)"
282237615,19875363,0,"LINESTRING (-2.58497 51.462917, -2.586046 51.462375)"
282237615,104804,0,"LINESTRING (-2.58497 51.462917, -2.58491 51.462961, -2.584859 51.463003)"
282237615,282238484,0,"LINESTRING (-2.58497 51.462917, -2.584921 51.462877, -2.584889 51.462828)"
859323256,283348151,0,"LINESTRING (-2.583733 51.463691, -2.584272 51.463371)"
859323256,283348229,0,"LINESTRING (-2.583733 51.463691, -2.583703 51.463709, -2.583655 51.463738)"
859323256,859323097,0,"LINESTRING (-2.583733 51.463691, -2.583468 51.463686, -2.583417 51.463691, -2.583266 51.463717, -2.583222 51.463741)"
283348057,283348151,0,"LINESTRING (-2.585416 51.46423, -2.584272 51.463371)"
283348057,835468051,0,"LINESTRING (-2.585416 51.46423, -2.58592 51.464615)"
283348057,104808,0,"LINESTRING (-2.585416 51.46423, -2.586081 51.463919)"
283348057,283348164,0,"LINESTRING (-2.585416 51.46423, -2.585132 51.464365, -2.584755 51.464544)"
104808,21591965,0,"LINESTRING (-2.586081 51.463919, -2.58525 51.463281)"
104808,283348057,0,"LINESTRING (-2.586081 51.463919, -2.585416 51.46423)"
104808,104833,0,"LINESTRING (-2.586081 51.463919, -2.586274 51.464075, -2.586649 51.464346)"
104808,19875367,0,"LINESTRING (-2.586081 51.463919, -2.586338 51.463796, -2.587099 51.463428)"
21591966,19875363,0,"LINESTRING (-2.5864 51.462743, -2.586046 51.462375)"
21591966,19875367,0,"LINESTRING (-2.5864 51.462743, -2.587099 51.463428)"
21591966,21591967,0,"LINESTRING (-2.5864 51.462743, -2.587622 51.462142)"
21591966,21591965,0,"LINESTRING (-2.5864 51.462743, -2.586029 51.462914, -2.58525 51.463281)"
19875363,21591966,0,"LINESTRING (-2.586046 51.462375, -2.5864 51.462743)"
19875363,364165242,0,"LINESTRING (-2.586046 51.462375, -2.585654 51.461878)"
19875363,282237615,0,"LINESTRING (-2.586046 51.462375, -2.58497 51.462917)"
19875363,5906108608,0,"LINESTRING (-2.586046 51.462375, -2.586094 51.462351, -2.586585 51.462106)"
282238484,282237615,0,"LINESTRING (-2.584889 51.462828, -2.584921 51.462877, -2.58497 51.462917)"
