node_id,x,y,highway
104804,-2.5848588,51.4630034,
283348151,-2.5842715,51.4633706,
21591965,-2.5852504,51.4632806,
282237615,-2.5849703,51.4629172,
859323256,-2.5837332,51.4636909,
283348057,-2.5854158,51.46423,
104808,-2.586081,51.4639194,
21591966,-2.5863995,51.4627431,
19875363,-2.5860455,51.462375,
282238484,-2.584889,51.4628277,
104805,-2.5820973,51.4646665,
835468072,-2.58229,51.4645718,
835468062,-2.5815921,51.4644144,
3980721955,-2.5820873,51.4644538,
3329862694,-2.5814842,51.4652076,
13191500418,-2.5823312,51.4645398,
1236292762,-2.5826606,51.4647708,
21591973,-2.5815125,51.4643714,
3980721935,-2.5817541,51.4643058,
3980721932,-2.5820544,51.4643025,
3980721951,-2.5819609,51.4643035,
3980721933,-2.5823035,51.4642999,
835468076,-2.5812109,51.46543,
5846875198,-2.5815017,51.4654242,
104833,-2.5866486,51.4643456,
19875367,-2.5870991,51.4634284,
835468051,-2.5859196,51.4646154,
283348164,-2.5847552,51.4645439,
19875368,-2.5875944,51.4639111,
19875356,-2.5873518,51.4648913,
293907316,-2.5884548,51.462815,
104812,-2.580726,51.4639673,
358460226,-2.5803047,51.4637576,
462979246,-2.5809042,51.4640625,
6327939494,-2.5811616,51.4635486,
104814,-2.5796921,51.4634456,
2433742262,-2.5813233,51.4637959,
5823112370,-2.579729,51.4650136,
6327939493,-2.5812571,51.4636074,
6327939492,-2.5814741,51.4632328,
104813,-2.5790379,51.4631058,
1297069021,-2.5788124,51.4632907,
1297069022,-2.5791957,51.4629641,
1282135924,-2.5787214,51.4632487,
1297069020,-2.5793882,51.4627759,
1282135926,-2.5790307,51.4629896,
104829,-2.5807185,51.461573,
1242132583,-2.5812664,51.4610797,
19871273,-2.5822897,51.4613315,
1722968878,-2.5796845,51.4624764,
17476836,-2.5815743,51.4608523,
6211451020,-2.5818705,51.4607148,
19871274,-2.5828657,51.4611473,
6211450986,-2.5825341,51.4616387,
1722968890,-2.5799636,51.4625874,
5900430623,-2.5881204,51.4644197,
4794218449,-2.5883427,51.4635426,
31079955,-2.5866983,51.4651529,
19875354,-2.5882767,51.4645711,
104837,-2.5872167,51.4617977,
21591967,-2.5876224,51.4621417,
19875366,-2.5868757,51.4619615,
5906030287,-2.5874519,51.4616775,
2882617940,-2.5880269,51.4624689,
287225971,-2.5865958,51.4615963,
5906108608,-2.5865848,51.4621063,
262442708,-2.588183,51.4613221,
5906030290,-2.5873029,51.4615583,
104838,-2.5887285,51.4610617,
5240224448,-2.5886121,51.4608043,
5240224464,-2.5889677,51.461266,
287226483,-2.5904285,51.4605801,
25280227,-2.5884195,51.4603748,
5240224447,-2.5883319,51.460852,
262442706,-2.5880054,51.4611856,
364165254,-2.5891498,51.4614215,
5240224465,-2.589082,51.4612109,
3332266263,-2.5907851,51.4604684,crossing
287226581,-2.5902981,51.4608571,
104854,-2.5858771,51.4570684,
4661094415,-2.585816,51.4569856,crossing
5822644372,-2.5856446,51.4567301,
6824060867,-2.5857914,51.4571141,
12595689526,-2.5859043,51.4569404,
104855,-2.5867257,51.4582949,
5919449224,-2.5866966,51.4582459,
2043096366,-2.5871231,51.4587639,
6481238337,-2.5851494,51.4585052,
5919449207,-2.5861884,51.4574977,crossing
5919449221,-2.5880806,51.4579563,
5919449206,-2.5870757,51.458808,
5794635161,-2.5886556,51.4588173,
5919449192,-2.5848568,51.4585657,
6481238325,-2.5847302,51.4587939,
6481238332,-2.5844914,51.4586036,
17396682,-2.580242,51.4574095,
6281096706,-2.5802176,51.4574449,
12461273918,-2.5805373,51.4572826,
1500366483,-2.5807172,51.4572429,
12461273917,-2.5805213,51.4572616,
17404757,-2.5840669,51.45579,
17404766,-2.5838766,51.4553881,
9839716828,-2.5836729,51.4559324,
2570554804,-2.584196,51.456213,
12649817255,-2.5843325,51.4562113,crossing
1280281136,-2.584744,51.4570008,
17405115,-2.5854634,51.4564648,
6824060862,-2.5853501,51.456502,
2570554778,-2.585405,51.4563839,
12595689521,-2.58573,51.4567117,
826648021,-2.5852653,51.4561619,
2570554793,-2.5852408,51.456126,
17476811,-2.582482,51.4601039,
17476831,-2.5823311,51.4602364,
835468169,-2.5831765,51.459813,
1242132603,-2.5828171,51.4598432,crossing
1242132578,-2.5822096,51.4602002,crossing
1242132577,-2.5824038,51.4604908,crossing
17476815,-2.5835558,51.4596597,
11159894542,-2.5829545,51.4598065,crossing
5061066670,-2.5826734,51.4596741,
436181749,-2.5837864,51.4594676,crossing
1280674371,-2.5838986,51.4595955,traffic_signals
12613167913,-2.5837122,51.4594534,
17476820,-2.5836427,51.4585889,
3860745715,-2.5838939,51.4595031,
364165249,-2.5840459,51.459565,
17476875,-2.5840601,51.4596247,crossing
1280656209,-2.5835423,51.4585614,traffic_signals
302794082,-2.5838283,51.458664,
17476821,-2.5837823,51.4583794,traffic_signals
1280821651,-2.5831687,51.4586136,
5834330053,-2.5836486,51.4594928,
1280821702,-2.5836972,51.4583495,
17476874,-2.5839225,51.4592344,
17476871,-2.5840314,51.458376,traffic_signals
1280821720,-2.5832981,51.4582716,
3860810901,-2.5840679,51.4579109,
17476842,-2.5846117,51.4575434,
2130610640,-2.5841286,51.458409,
117677937,-2.5820373,51.4601377,
1242132604,-2.5821657,51.4602643,
3860786634,-2.5824556,51.4605417,
11124020086,-2.5847833,51.4573054,crossing
260697232,-2.5846097,51.4572303,crossing
492221099,-2.5849638,51.4573287,
262441802,-2.5843488,51.4573081,
826736676,-2.5840801,51.4584762,
2027862783,-2.584674,51.4577391,
1280674364,-2.5840166,51.4594885,traffic_signals
385560628,-2.5841639,51.4594253,crossing
2433821535,-2.5841133,51.4594704,
2433821534,-2.5841445,51.4595424,crossing
2433821537,-2.5842405,51.4593539,
2433821542,-2.5841194,51.4598294,traffic_signals
3860745718,-2.5841455,51.4596184,
262442262,-2.5843634,51.4601591,
2433821544,-2.5842825,51.4597636,
17659512,-2.5833128,51.4653183,mini_roundabout
1692574255,-2.5831576,51.4653364,
197821399,-2.5851213,51.4652656,
859323271,-2.5841034,51.4648617,
1095623213,-2.5830191,51.4653593,
6327862643,-2.5830923,51.4650686,
835468048,-2.5863396,51.4652498,
1692574229,-2.5838408,51.4646543,
17659515,-2.5816254,51.4656863,
1668960264,-2.5817932,51.465643,traffic_signals
1668960262,-2.5825062,51.4654595,
5846875199,-2.5815333,51.4654757,
17660703,-2.5901682,51.4596839,
1247839593,-2.5899505,51.4595861,
5065034057,-2.5895789,51.4593167,
1280853195,-2.5904855,51.459834,
3696173720,-2.5906137,51.4599394,crossing
644926923,-2.5907039,51.4598269,crossing
17660726,-2.5908112,51.4590827,
17660738,-2.5909588,51.4597523,
644926968,-2.5908448,51.4599127,crossing
13002072656,-2.5908923,51.4599133,
3332266272,-2.5910909,51.4604689,crossing
9464338656,-2.5907457,51.4599074,
5823455892,-2.5906704,51.4597722,
19871255,-2.5847166,51.4606321,
859323119,-2.5849499,51.4609461,
859323057,-2.5847023,51.4606087,
859323159,-2.5851028,51.460695,
2433778866,-2.584964,51.4609654,
364165243,-2.5845136,51.4603465,
262442292,-2.58397,51.4608134,
3811627140,-2.5853154,51.4606319,
19871260,-2.5860178,51.4608379,
1247839597,-2.5863133,51.4607454,
859323141,-2.5861067,51.4609613,
2433778870,-2.5859193,51.4607236,
1968413560,-2.5858885,51.4608778,
25280232,-2.5875965,51.4605083,
5423487737,-2.5861774,51.4605668,
19871261,-2.586359,51.4612686,
859323188,-2.5859738,51.4612605,
2433778872,-2.5855161,51.4605919,
