,u,v,key,distance,lighting,greenery,pollution,surface_quality
0,104804,283348151,0,57.64124565669188,0.8,0.4,0.3,0.1
1,104804,21591965,0,41.06142069481122,0.8,0.6,0.4,0.1
2,104804,282237615,0,12.31565596019496,0.8,0.4,0.3,0.1
3,283348151,104804,0,57.64124565669188,0.8,0.4,0.3,0.1
4,283348151,859323256,0,51.566663379537005,0.8,0.4,0.3,0.1
5,283348151,283348057,0,124.16104153791507,0.8,0.6,0.4,0.1
6,21591965,104808,0,91.4131992531357,0.8,0.6,0.4,0.1
7,21591965,104804,0,41.06142069481122,0.8,0.6,0.4,0.1
8,21591965,21591966,0,99.5467313971337,0.2,0.6,0.4,0.1
9,282237615,19875363,0,95.82893611306103,0.2,0.4,0.3,0.1
10,282237615,104804,0,12.31565596019496,0.8,0.4,0.3,0.1
11,282237615,282238484,0,11.540698161040826,0.8,0.6,0.4,0.1
12,859323256,283348151,0,51.566663379537005,0.8,0.4,0.3,0.1
13,859323256,283348229,0,7.509207998278176,0.8,0.4,0.3,0.1
14,859323256,859323097,0,36.82442308200678,0.8,0.9,0.1,0.1
15,283348057,283348151,0,124.16104153791507,0.8,0.6,0.4,0.1
16,283348057,104808,0,57.58776569352625,0.8,0.4,0.3,0.1
17,283348057,283348164,0,57.554629227666226,0.8,0.4,0.3,0.1
18,104808,21591965,0,91.4131992531357,0.8,0.6,0.4,0.1
19,104808,283348057,0,57.58776569352625,0.8,0.4,0.3,0.1
20,104808,104833,0,61.59965379604079,0.8,0.4,0.3,0.1
21,104808,19875367,0,89.19212914497304,0.2,0.4,0.3,0.1
22,21591966,19875363,0,47.71557510560345,0.2,0.4,0.3,0.1
23,21591966,19875367,0,90.30885378591174,0.2,0.4,0.3,0.1
24,21591966,21591967,0,107.93223316873032,0.2,0.6,0.4,0.1
25,21591966,21591965,0,99.5467313971337,0.2,0.6,0.4,0.1
26,19875363,21591966,0,47.71557510560345,0.2,0.4,0.3,0.1
27,19875363,364165242,0,61.60069569471027,0.2,0.4,0.3,0.1
28,19875363,282237615,0,95.82893611306103,0.2,0.4,0.3,0.1
29,19875363,5906108608,0,47.839200580996604,0.2,0.4,0.3,0.1
30,282238484,282237615,0,11.540698161040826,0.8,0.6,0.4,0.1
31,282238484,282238482,0,107.41966200856102,0.8,0.6,0.4,0.1
32,282238484,835468055,0,61.45349412333963,0.8,0.4,0.3,0.1
33,104833,19875368,0,81.40750362863251,0.2,0.6,0.4,0.1
34,104833,104808,0,61.59965379604079,0.8,0.4,0.3,0.1
35,19875367,21591966,0,90.30885378591174,0.2,0.4,0.3,0.1
36,19875367,19875368,0,63.704127665862664,0.2,0.4,0.3,0.1
37,19875367,104808,0,89.19212914497304,0.2,0.4,0.3,0.1
38,19875367,293907316,0,116.07255995202004,0.2,0.4,0.3,0.1
39,283348164,283348229,0,117.67878708460879,0.8,0.6,0.4,0.1
40,283348164,283348057,0,57.554629227666226,0.8,0.4,0.3,0.1
41,19875368,104833,0,81.40750362863251,0.2,0.6,0.4,0.1
42,19875368,19875367,0,63.704127665862664,0.2,0.4,0.3,0.1
43,19875368,5900430623,0,67.27636254848716,0.2,0.4,0.3,0.1
44,19875368,4794218449,0,66.07768775637653,0.2,0.6,0.4,0.1
45,293907316,2882617940,0,48.57795779798697,0.8,0.4,0.3,0.1
46,293907316,4795736877,0,4.002973546472964,0.8,0.4,0.3,0.1
47,293907316,19875367,0,116.07255995202004,0.2,0.4,0.3,0.1
48,104812,358460226,0,37.356639000736365,0.8,0.4,0.3,0.1
49,104812,462979246,0,16.262032346440073,0.8,0.4,0.3,0.1
50,104812,6327939494,0,55.49085518510246,0.8,0.6,0.4,0.1
51,358460226,104814,0,54.81433032611129,0.8,0.4,0.3,0.1
52,358460226,104812,0,37.356639000736365,0.8,0.4,0.3,0.1
53,462979246,104812,0,16.262032346440073,0.8,0.4,0.3,0.1
54,462979246,21591973,0,54.36514764403247,0.8,0.4,0.3,0.1
55,462979246,2433742262,0,41.493795269779206,0.8,0.9,0.1,0.1
56,6327939494,6327939493,0,9.301526846266007,0.8,0.6,0.4,0.1
57,6327939494,6327939492,0,41.25242210341515,0.8,0.6,0.4,0.1
58,6327939494,104812,0,55.49085518510246,0.8,0.6,0.4,0.1
59,104814,358460226,0,54.81433032611129,0.8,0.4,0.3,0.1
60,21591973,462979246,0,54.36514764403247,0.8,0.4,0.3,0.1
61,21591973,835468062,0,7.298544405774302,0.8,0.4,0.3,0.1
62,2433742262,462979246,0,41.493795269779206,0.8,0.9,0.1,0.1
63,2433742262,835468063,0,5.237001404698587,0.8,0.9,0.1,0.1
64,2433742262,859323102,0,24.990624110843957,0.8,0.9,0.1,0.1
65,6327939493,6327939494,0,9.301526846266007,0.8,0.6,0.4,0.1
66,6327939492,6327939491,0,10.649747593738448,0.8,0.6,0.4,0.1
67,6327939492,859323083,0,25.58982928598164,0.8,0.6,0.4,0.1
68,6327939492,6327939494,0,41.25242210341515,0.8,0.6,0.4,0.1
69,104829,1242132583,0,68.65888115570544,0.2,0.4,0.3,0.1
70,104829,19871273,0,153.82310067403628,0.2,0.4,0.3,0.1
71,104829,1722968878,0,125.97538068128651,0.2,0.4,0.3,0.1
72,1242132583,104829,0,68.65888115570544,0.2,0.4,0.3,0.1
73,1242132583,17476836,0,33.10760408385856,0.2,0.4,0.3,0.1
74,1242132583,6211451020,0,112.12882522943798,0.2,0.4,0.3,0.1
75,19871273,19871274,0,44.85446045280386,0.2,0.4,0.3,0.1
76,19871273,104829,0,153.82310067403628,0.2,0.4,0.3,0.1
77,19871273,6211450986,0,38.12521605469308,0.2,0.4,0.3,0.1
78,1722968878,1722968890,0,22.93897229740086,0.2,0.4,0.3,0.1
79,1722968878,1297069020,0,39.12080435493503,0.2,0.4,0.3,0.1
80,1722968878,104829,0,125.97538068128651,0.2,0.4,0.3,0.1
81,17476836,6211451020,0,25.5903383724923,0.2,0.1,1.0,0.1
82,17476836,1242132583,0,33.10760408385856,0.2,0.4,0.3,0.1
83,6211451020,17476836,0,25.5903383724923,0.2,0.1,1.0,0.1
84,6211451020,1242132577,0,44.56220771186957,0.2,0.1,1.0,0.2
85,6211451020,1242132583,0,112.12882522943795,0.2,0.4,0.3,0.1
86,19871274,5753086713,0,46.8205600387419,0.2,0.9,0.1,0.1
87,19871274,19871273,0,44.85446045280386,0.2,0.4,0.3,0.1
88,19871274,262442292,0,85.0388930704271,0.2,0.4,0.3,0.1
89,6211450986,19871273,0,38.12521605469308,0.2,0.4,0.3,0.1
90,1722968890,1722968878,0,22.93897229740086,0.2,0.4,0.3,0.1
91,1722968890,1722968881,0,9.804726547040493,0.8,0.4,0.3,0.1
92,1722968890,1722968925,0,48.73900078335072,0.8,0.4,0.3,0.1
93,1297069020,1282135928,0,5.3019720247085,0.2,0.9,0.1,0.1
94,1297069020,1722968878,0,39.12080435493503,0.2,0.4,0.3,0.1
95,5900430623,19875368,0,67.27636254848716,0.2,0.4,0.3,0.1
96,5900430623,5900430626,0,24.160914752822542,0.2,0.4,0.3,0.1
97,4794218449,19875368,0,66.07768775637653,0.2,0.6,0.4,0.1
98,4794218449,21309748,0,119.76576496020468,0.8,0.4,0.3,0.1
99,4794218449,4794218446,0,17.58794138973343,0.8,0.9,0.1,0.3
100,104837,21591967,0,47.466898558256716,0.2,0.4,0.3,0.1
101,104837,19875366,0,29.830050997914846,0.2,0.4,0.3,0.1
102,104837,5906030287,0,21.07662222925079,0.2,0.4,0.3,0.1
103,21591967,104837,0,47.466898558256716,0.2,0.4,0.3,0.1
104,21591967,2882617940,0,45.923918683251834,0.8,0.4,0.3,0.1
105,21591967,21591966,0,107.93223316873032,0.2,0.6,0.4,0.1
106,19875366,287225971,0,45.00066433656381,0.2,0.4,0.3,0.1
107,19875366,5906108608,0,25.795125279711797,0.2,0.4,0.3,0.1
108,19875366,104837,0,29.830050997914846,0.2,0.4,0.3,0.1
109,5906030287,262442708,0,64.24283798699834,0.2,0.4,0.3,0.3
110,5906030287,104837,0,21.07662222925079,0.2,0.4,0.3,0.1
111,5906030287,5906030290,0,16.79986808423033,0.2,0.4,0.3,0.1
112,2882617940,21591967,0,45.923918683251834,0.8,0.4,0.3,0.1
113,2882617940,293907316,0,48.57795779798697,0.8,0.4,0.3,0.1
114,2882617940,859323223,0,47.16763002947642,0.8,0.4,0.3,0.1
115,287225971,19875366,0,45.00066433656381,0.2,0.4,0.3,0.1
116,287225971,19871261,0,39.961324690828015,0.2,0.4,0.3,0.2
117,287225971,364165242,0,72.35683802684447,0.2,0.4,0.3,0.1
118,5906108608,19875366,0,25.795125279711797,0.2,0.4,0.3,0.1
119,5906108608,19875363,0,47.839200580996604,0.2,0.4,0.3,0.1
120,5906108608,5906108611,0,19.650825861718523,0.2,0.4,0.3,0.1
121,262442708,5906030287,0,64.24283798699834,0.2,0.4,0.3,0.3
122,262442708,104838,0,47.60920218995218,0.2,0.4,0.3,0.1
123,262442708,262442706,0,19.541553699696188,0.2,0.9,0.1,0.3
124,5906030290,5906030287,0,16.799868084230333,0.2,0.4,0.3,0.1
125,104838,5240224448,0,29.73596811658433,0.2,0.4,0.3,0.1
126,104838,262442708,0,47.60920218995218,0.2,0.4,0.3,0.1
127,104838,5240224464,0,28.11919707116186,0.2,0.4,0.3,0.1
128,104838,287226483,0,151.29401512397186,0.2,0.4,0.3,0.1
129,5240224448,25280227,0,49.58730298441685,0.2,0.4,0.3,0.1
130,5240224448,104838,0,29.73596811658433,0.2,0.4,0.3,0.1
131,5240224448,5240224447,0,20.12383450563039,0.2,0.4,0.3,0.1
132,5240224464,104838,0,28.11919707116186,0.2,0.4,0.3,0.1
133,5240224464,364165254,0,21.403977166575633,0.8,0.4,0.3,0.1
134,5240224464,5240224465,0,10.012148074549893,0.8,0.4,0.3,0.1
135,287226483,3332266263,0,27.651886231189813,0.2,0.6,0.4,0.1
136,287226483,287226581,0,32.14222113023852,0.2,0.6,0.4,0.1
137,287226483,104838,0,151.29401512397186,0.2,0.9,0.1,0.1
138,25280227,5240224448,0,49.58730298441685,0.2,0.4,0.3,0.1
139,25280227,262442627,0,49.07514655208435,0.2,0.4,0.3,0.1
140,25280227,262442297,0,42.11109616028839,0.2,0.9,0.1,0.1
141,25280227,25280228,0,58.52999899339048,0.2,0.4,0.3,0.1
142,25280227,287226447,0,87.43138095068281,0.2,0.6,0.4,0.2
143,5240224447,5240224448,0,20.12383450563039,0.2,0.4,0.3,0.1
144,262442706,262442698,0,70.22518399726691,0.8,0.9,0.1,0.3
145,262442706,262442708,0,19.541553699696188,0.2,0.9,0.1,0.3
146,262442706,262442695,0,16.743764575072124,0.8,0.9,0.1,0.3
147,364165254,5240224479,0,44.132684326128164,0.8,0.6,0.4,0.1
148,364165254,5240224464,0,21.403977166575633,0.8,0.4,0.3,0.1
149,364165254,5240224498,0,20.51864377956385,0.8,0.4,0.3,0.1
150,364165254,287226581,0,101.32831125667413,0.2,0.6,0.4,0.1
151,5240224465,5240224464,0,10.012148074549893,0.8,0.4,0.3,0.1
152,3332266263,287226495,0,4.712395449552413,0.2,0.6,0.4,0.1
153,3332266263,287226483,0,27.651886231189813,0.2,0.6,0.4,0.1
154,3332266263,3332266270,0,7.81981808234279,0.2,0.9,0.1,0.1
155,3332266263,1280853181,0,18.281528941939087,0.2,0.9,0.1,0.1
156,287226581,364165254,0,101.32831125667413,0.2,0.6,0.4,0.1
157,287226581,287226485,0,121.20826750100753,0.2,0.6,0.4,0.1
158,287226581,287226483,0,32.14222113023852,0.2,0.6,0.4,0.1
159,104854,4661094415,0,10.133575264560282,0.8,0.3,0.4,0.1
160,4661094415,104854,0,10.133575264560282,0.8,0.3,0.4,0.1
161,4661094415,5822644372,0,30.799457931446373,0.8,0.3,0.4,0.1
162,4661094415,6824060867,0,17.471431133587114,0.8,0.9,0.1,0.1
163,4661094415,12595689526,0,7.930851853979606,0.8,0.9,0.1,0.3
164,5822644372,17405115,0,32.06047380265711,0.8,0.3,0.4,0.1
165,5822644372,12595689521,0,6.260793451232258,0.8,0.9,0.1,0.1
166,5822644372,4661094415,0,30.799457931446373,0.8,0.3,0.4,0.1
167,6824060867,8910794148,0,10.837874948997937,0.8,0.4,0.3,0.1
168,6824060867,4661094415,0,17.471431133587114,0.8,0.9,0.1,0.1
169,6824060867,4661094416,0,20.100670040823353,0.8,0.9,0.1,0.1
170,12595689526,4661094415,0,7.930851853979606,0.8,0.9,0.1,0.3
171,12595689526,12595689521,0,28.332105879050864,0.8,0.9,0.1,0.3
172,12595689526,12595689528,0,7.4438736508188015,0.8,0.9,0.1,0.3
173,104855,5919449224,0,5.809621916738942,0.2,0.4,0.3,0.1
174,104855,2043096366,0,59.47658904510981,0.2,0.4,0.3,0.1
175,104855,6481238337,0,112.3091234252947,0.2,0.4,0.3,0.1
176,5919449224,104855,0,5.809621916738942,0.2,0.4,0.3,0.1
177,5919449224,5919449207,0,90.34202585431443,0.2,0.4,0.3,0.3
178,5919449224,5919449221,0,101.263987808361,0.2,0.9,0.1,0.3
179,2043096366,5919449206,0,5.901787843271464,0.8,0.4,0.3,0.3
180,2043096366,104855,0,59.47658904510982,0.2,0.4,0.3,0.1
181,2043096366,5794635161,0,107.73597228563449,0.8,0.4,0.3,0.3
182,6481238337,5919449192,0,21.56052820097649,0.2,0.4,0.3,0.3
183,6481238337,104855,0,112.3091234252947,0.2,0.4,0.3,0.1
