y,x,street_count,highway,ref,junction,railway,geometry
51.4630034,-2.5848588,3,,,,,POINT (-2.5848588 51.4630034)
51.4646665,-2.5820973,4,,,,,POINT (-2.5820973 51.4646665)
51.4659995,-2.5806879,3,,,,,POINT (-2.5806879 51.4659995)
51.4639194,-2.586081,4,,,,,POINT (-2.586081 51.4639194)
51.4639673,-2.580726,3,,,,,POINT (-2.580726 51.4639673)
51.4631058,-2.5790379,3,,,,,POINT (-2.5790379 51.4631058)
51.4634456,-2.5796921,3,,,,,POINT (-2.5796921 51.4634456)
51.4644609,-2.5783389,3,,,,,POINT (-2.5783389 51.4644609)
51.4652198,-2.5780902,3,,,,,POINT (-2.5780902 51.4652198)
51.4663421,-2.5774381,3,,,,,POINT (-2.5774381 51.4663421)
51.4665247,-2.5797862,3,,,,,POINT (-2.5797862 51.4665247)
51.4674177,-2.5789056,3,,,,,POINT (-2.5789056 51.4674177)
51.461573,-2.5807185,3,,,,,POINT (-2.5807185 51.461573)
51.4643456,-2.5866486,3,,,,,POINT (-2.5866486 51.4643456)
51.4617977,-2.5872167,3,,,,,POINT (-2.5872167 51.4617977)
51.4610617,-2.5887285,4,,,,,POINT (-2.5887285 51.4610617)
51.4659375,-2.5883027,3,,,,,POINT (-2.5883027 51.4659375)
51.4556429,-2.590734,4,traffic_signals,,,,POINT (-2.590734 51.4556429)
51.4570684,-2.5858771,1,,,,,POINT (-2.5858771 51.4570684)
51.4582949,-2.5867257,3,,,,,POINT (-2.5867257 51.4582949)
51.4575365,-2.5899842,1,,,,,POINT (-2.5899842 51.4575365)
51.4570992,-2.5914231,3,,,,,POINT (-2.5914231 51.4570992)
51.455774,-2.5801729,3,,,,,POINT (-2.5801729 51.455774)
51.4482439,-2.5809986,1,,,,,POINT (-2.5809986 51.4482439)
51.4496526,-2.5759897,3,,,,,POINT (-2.5759897 51.4496526)
51.4487882,-2.5754642,5,,,,,POINT (-2.5754642 51.4487882)
51.4524588,-2.5742954,3,,,,,POINT (-2.5742954 51.4524588)
51.4556383,-2.5791492,3,,,,,POINT (-2.5791492 51.4556383)
51.4710532,-2.5807044,3,,,,,POINT (-2.5807044 51.4710532)
51.4745737,-2.5914868,3,,,,,POINT (-2.5914868 51.4745737)
51.4869555,-2.5853892,5,,,,,POINT (-2.5853892 51.4869555)
51.4945566,-2.5744012,3,,,,,POINT (-2.5744012 51.4945566)
51.4969881,-2.5728403,3,,,,,POINT (-2.5728403 51.4969881)
51.4163657,-2.6174939,3,mini_roundabout,,,,POINT (-2.6174939 51.4163657)
51.4208751,-2.6166327,3,,,,,POINT (-2.6166327 51.4208751)
51.4253001,-2.6142367,3,,,,,POINT (-2.6142367 51.4253001)
51.4292474,-2.6137376,3,traffic_signals,,,,POINT (-2.6137376 51.4292474)
51.4331285,-2.6097659,3,,,,,POINT (-2.6097659 51.4331285)
51.43222,-2.6062085,4,,,,,POINT (-2.6062085 51.43222)
51.4361919,-2.6115671,3,,,,,POINT (-2.6115671 51.4361919)
51.4364793,-2.6121701,3,,,,,POINT (-2.6121701 51.4364793)
51.4380062,-2.6147127,3,,,,,POINT (-2.6147127 51.4380062)
51.4386342,-2.6121915,3,,,,,POINT (-2.6121915 51.4386342)
51.4350764,-2.6006246,3,,,,,POINT (-2.6006246 51.4350764)
51.4356264,-2.5988777,3,,,,,POINT (-2.5988777 51.4356264)
51.4364067,-2.5908631,3,,,,,POINT (-2.5908631 51.4364067)
51.4374565,-2.58431,4,mini_roundabout,,,,POINT (-2.58431 51.4374565)
51.4382481,-2.582862,3,,,,,POINT (-2.582862 51.4382481)
51.4390555,-2.5822554,4,,,,,POINT (-2.5822554 51.4390555)
51.4400669,-2.582071,3,,,,,POINT (-2.582071 51.4400669)
51.4404825,-2.5819542,3,,,,,POINT (-2.5819542 51.4404825)
51.4133231,-2.55968,3,,,,,POINT (-2.55968 51.4133231)
51.4168675,-2.5601773,3,,,,,POINT (-2.5601773 51.4168675)
51.4276878,-2.5638635,3,,,,,POINT (-2.5638635 51.4276878)
51.4343086,-2.5665476,3,,,,,POINT (-2.5665476 51.4343086)
51.4301276,-2.556152,3,,,,,POINT (-2.556152 51.4301276)
51.4418459,-2.5780746,3,,,,,POINT (-2.5780746 51.4418459)
51.4382498,-2.6002567,3,,,,,POINT (-2.6002567 51.4382498)
51.4410841,-2.5953632,3,crossing,,,,POINT (-2.5953632 51.4410841)
51.4269754,-2.5284225,3,,,,,POINT (-2.5284225 51.4269754)
51.4270197,-2.528619,3,,,,,POINT (-2.528619 51.4270197)
51.4306405,-2.5436434,3,,,,,POINT (-2.5436434 51.4306405)
51.441948,-2.5607429,4,,,,,POINT (-2.5607429 51.441948)
51.4440536,-2.5610641,4,,,,,POINT (-2.5610641 51.4440536)
51.454082,-2.5698025,4,,,,,POINT (-2.5698025 51.454082)
51.4460521,-2.5606799,3,,,,,POINT (-2.5606799 51.4460521)
51.4581753,-2.5715506,3,,,,,POINT (-2.5715506 51.4581753)
51.4582474,-2.5717448,3,,,,,POINT (-2.5717448 51.4582474)
51.4564587,-2.5799256,3,,,,,POINT (-2.5799256 51.4564587)
51.4145228,-2.5934389,3,,,,,POINT (-2.5934389 51.4145228)
51.4147219,-2.5954336,3,,,,,POINT (-2.5954336 51.4147219)
51.4260331,-2.5915562,3,,,,,POINT (-2.5915562 51.4260331)
51.4151001,-2.5941737,3,,,,,POINT (-2.5941737 51.4151001)
51.4137881,-2.5947228,3,,,,,POINT (-2.5947228 51.4137881)
51.4204069,-2.6325463,3,,,,,POINT (-2.6325463 51.4204069)
51.42175,-2.629514,3,,,,,POINT (-2.629514 51.42175)
51.4341386,-2.6127649,3,,,,,POINT (-2.6127649 51.4341386)
51.4348529,-2.6175825,3,,,,,POINT (-2.6175825 51.4348529)
51.4341966,-2.6174929,3,,,,,POINT (-2.6174929 51.4341966)
51.4344037,-2.6140031,3,,,,,POINT (-2.6140031 51.4344037)
51.4332304,-2.6106703,3,,,,,POINT (-2.6106703 51.4332304)
51.4715278,-2.629916,3,,,,,POINT (-2.629916 51.4715278)
51.4743905,-2.6243328,4,,,,,POINT (-2.6243328 51.4743905)
51.4784209,-2.6192909,4,,,,,POINT (-2.6192909 51.4784209)
51.479455,-2.6201862,3,,,,,POINT (-2.6201862 51.479455)
51.4793148,-2.6167006,3,,,,,POINT (-2.6167006 51.4793148)
51.4769225,-2.6168015,3,,,,,POINT (-2.6168015 51.4769225)
