osmid,highway,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lanes,access,tunnel,ref,junction,service,bridge,access_score,score_band,edge_colour
3878220,unclassified,20 mph,Grosvenor Road,False,True,57.64,32.1868,6.447,"LINESTRING (-2.5848588 51.4630034, -2.5842715 51.4633706)",,,,,,,,0.004012567004065443,0.9,#199750
8172814,residential,20 mph,Brighton Street,False,False,41.06,32.1868,4.593,"LINESTRING (-2.5848588 51.4630034, -2.5852504 51.4632806)",,,,,,,,0.004012567004065443,0.9,#199750
3878220,unclassified,20 mph,Grosvenor Road,False,False,12.32,32.1868,1.377,"LINESTRING (-2.5848588 51.4630034, -2.5849097 51.4629614, -2.5849703 51.4629172)",,,,,,,,0.004210792283675223,0.9,#199750
8172814,residential,20 mph,Brighton Street,False,True,91.41,32.1868,10.224,"LINESTRING (-2.586081 51.4639194, -2.5852504 51.4632806)",,,,,,,,0.004612852274382712,0.9,#199750
193994529,unclassified,20 mph,City Road,False,False,57.59,32.1868,6.441,"LINESTRING (-2.586081 51.4639194, -2.5854158 51.46423)",2,,,,,,,0.004612852274382712,0.9,#199750
"[4832798, 72343207]",unclassified,20 mph,Drummond Road,False,False,61.6,32.1868,6.89,"LINESTRING (-2.586081 51.4639194, -2.5862741 51.464075, -2.5866486 51.4643456)",,,,,,,,0.006023321220262574,0.8,#66bd63
193994529,unclassified,20 mph,City Road,False,True,89.19,32.1868,9.976,"LINESTRING (-2.586081 51.4639194, -2.5863379 51.4637955, -2.5870991 51.4634284)",2,,,,,,,0.005801200443430158,0.9,#199750
4013287,unclassified,20 mph,Saint Nicholas Road,False,False,37.36,32.1868,4.178,"LINESTRING (-2.580726 51.4639673, -2.5803047 51.4637576)",,,,,,,,0.0031783774286181284,0.9,#199750
4013287,unclassified,20 mph,Saint Nicholas Road,False,True,16.26,32.1868,1.819,"LINESTRING (-2.580726 51.4639673, -2.5809042 51.4640625)",,,,,,,,0.0029665639845540153,0.9,#199750
72343233,residential,20 mph,Halston Drive,False,False,55.49,32.1868,6.206,"LINESTRING (-2.580726 51.4639673, -2.5808686 51.4638346, -2.5809972 51.4637148, -2.5811616 51.4635486)",,,,,,,,0.003416726753590189,0.9,#199750
4013287,unclassified,20 mph,Saint Nicholas Road,False,True,54.81,32.1868,6.131,"LINESTRING (-2.5796921 51.4634456, -2.5803047 51.4637576)",,,,,,,,0.0034864061760701095,0.9,#199750
3877714,unclassified,20 mph,,False,True,68.66,32.1868,7.679,"LINESTRING (-2.5807185 51.461573, -2.5807331 51.4615131, -2.5807499 51.4614412, -2.5807947 51.4614031, -2.5812664 51.4610797)",,,,,,,,0.023530395245461317,0.5,#feffbe
"[72343225, 72343218, 3877715]",unclassified,20 mph,"['Wilson Place', 'Dove Lane', 'Wilson Street']",False,"[False, True]",153.82,32.1868,17.205,"LINESTRING (-2.5807185 51.461573, -2.5807835 51.4615883, -2.5808392 51.4616164, -2.5812657 51.4619366, -2.5819786 51.4615184, -2.5822897 51.4613315)",,,,,,,,0.014097884395311646,0.7,#a5d86a
"[4013288, 1364006095]",unclassified,,Newfoundland Road,False,False,125.98,32.33444587155963,14.026,"LINESTRING (-2.5807185 51.461573, -2.5806395 51.4615793, -2.580548 51.461617, -2.5803651 51.4617659, -2.5797481 51.4624144, -2.5796845 51.4624764)",,,,,,,,0.014097884395311646,0.7,#a5d86a
8302427,residential,20 mph,Gwyn Street,False,True,81.41,32.1868,9.105,"LINESTRING (-2.5866486 51.4643456, -2.5875944 51.4639111)",,,,,,,,0.008200421484360678,0.8,#66bd63
"[4832798, 72343207]",unclassified,20 mph,Drummond Road,False,True,61.6,32.1868,6.89,"LINESTRING (-2.5866486 51.4643456, -2.5862741 51.464075, -2.586081 51.4639194)",,,,,,,,0.006023321220262574,0.8,#66bd63
4234845,unclassified,20 mph,Brunswick Street,False,True,47.47,32.1868,5.309,"LINESTRING (-2.5872167 51.4617977, -2.5876224 51.4621417)",,,,,,,,0.008338978940605897,0.8,#66bd63
24359413,unclassified,20 mph,Wilder Street,False,False,29.83,32.1868,3.336,"LINESTRING (-2.5872167 51.4617977, -2.5868757 51.4619615)",,,,,,,,0.008338978940605897,0.8,#66bd63
24359413,unclassified,20 mph,Wilder Street,False,True,21.08,32.1868,2.357,"LINESTRING (-2.5872167 51.4617977, -2.5873944 51.4617055, -2.5874519 51.4616775)",,,,,,,,0.00846323623633458,0.8,#66bd63
4012533,unclassified,20 mph,Upper York Street,False,False,29.74,32.1868,3.326,"LINESTRING (-2.5887285 51.4610617, -2.5886121 51.4608043)",,,,,,,,0.011561253787809716,0.7,#a5d86a
24359413,unclassified,20 mph,Wilder Street,False,False,47.61,32.1868,5.325,"LINESTRING (-2.5887285 51.4610617, -2.588183 51.4613221)",,,,,,,,0.011561253787809716,0.7,#a5d86a
204097711,unclassified,20 mph,Upper York Street,False,True,28.12,32.1868,3.145,"LINESTRING (-2.5887285 51.4610617, -2.5889677 51.461266)",,,,,,,,0.01704723870218172,0.6,#d9ef8b
"[541977753, 26230303]","['path', 'unclassified']",20 mph,Wilder Street,False,False,151.29,32.1868,16.922,"LINESTRING (-2.5887285 51.4610617, -2.5899687 51.4604879, -2.5900083 51.460521, -2.5900172 51.4605275, -2.5901628 51.4606631, -2.5903862 51.4605933, -2.5904285 51.4605801)",,,,,,,,0.2704352540955242,0.0,#a50026
711114417,tertiary,20 mph,Lower Castle Street,False,True,10.13,32.1868,1.133,"LINESTRING (-2.5858771 51.4570684, -2.585816 51.4569856)",3,,,,,,,0.005224139830285467,0.9,#199750
22634693,unclassified,20 mph,Penn Street,False,False,5.81,32.1868,0.65,"LINESTRING (-2.5867257 51.4582949, -2.5866966 51.4582459)",1,,,,,,,0.004842452949177527,0.9,#199750
3512235,unclassified,20 mph,The Horsefair,False,True,59.48,32.1868,6.652,"LINESTRING (-2.5867257 51.4582949, -2.5868182 51.4584249, -2.5869547 51.4586169, -2.5870329 51.4587086, -2.5871231 51.4587639)",1,,,,,,,0.0052800529916918314,0.9,#199750
627040442,pedestrian,,George White Street,False,False,112.31,32.1868,12.561,"LINESTRING (-2.5867257 51.4582949, -2.5864644 51.4583115, -2.5861764 51.4583294, -2.5858861 51.4583541, -2.5854117 51.4584442, -2.5851494 51.4585052)",,permissive,,,,,,0.009374517619584792,0.8,#66bd63
"[16198701, 124100375]",pedestrian,,The Arcade,False,False,91.6,32.1868,10.245,"LINESTRING (-2.5899842 51.4575365, -2.5905454 51.4581743, -2.5906244 51.4582572)",,,yes,,,,,0.01979791835800676,0.6,#d9ef8b
1413277837,unclassified,20 mph,Union Street,False,True,12.81,32.1868,1.433,"LINESTRING (-2.5914231 51.4570992, -2.5913488 51.4569937)",1,,,,,,,0.020849090812167816,0.5,#feffbe
"[1458524044, 3512236]",unclassified,20 mph,Union Street,False,False,74.52,32.1868,8.335,"LINESTRING (-2.5914231 51.4570992, -2.5915109 51.4572225, -2.5915653 51.4572748, -2.591787 51.4575362, -2.5919179 51.4576936)",,,,,,,,0.016561333688975752,0.6,#d9ef8b
171255692,unclassified,20 mph,Broadmead,False,True,18.02,32.1868,2.016,"LINESTRING (-2.5914231 51.4570992, -2.5914531 51.4570501, -2.5914758 51.4570191, -2.5915056 51.4569953, -2.5915603 51.4569655)",1,,,,,,,0.023091806581411946,0.5,#feffbe
529808768,primary,30 mph,West Street,False,True,5.34,48.2802,0.398,"LINESTRING (-2.5799256 51.4564587, -2.5798558 51.456479)",2,,,A420,,,,0.07338691918101041,0.0,#a50026
42899133,primary,30 mph,Lamb Street,False,False,4.28,48.2802,0.319,"LINESTRING (-2.580242 51.4574095, -2.5802176 51.4574449)",2,,,A420,,,,0.01183792396279245,0.7,#a5d86a
42899133,primary,30 mph,Lamb Street,False,True,29.3,48.2802,2.185,"LINESTRING (-2.580242 51.4574095, -2.5803157 51.4572854, -2.5803731 51.4571592)",2,,,A420,,,,0.012293341174689465,0.7,#a5d86a
824590056,unclassified,,Saint Matthias Park,False,True,24.91,32.33444587155963,2.773,"LINESTRING (-2.580242 51.4574095, -2.5805056 51.4572909, -2.5805373 51.4572826)",,,,,,,,0.01183792396279245,0.7,#a5d86a
20340852,service,,,False,False,8.87,32.1868,0.992,"LINESTRING (-2.5854634 51.4564648, -2.5853501 51.456502)",,,,,,,,0.004652588716081838,0.9,#199750
22634258,tertiary,20 mph,Lower Castle Street,False,False,32.06,32.1868,3.586,"LINESTRING (-2.5854634 51.4564648, -2.5856446 51.4567301)",3,,,,,,,0.004847825540982319,0.9,#199750
3512235,unclassified,20 mph,The Horsefair,False,False,23.31,32.1868,2.608,"LINESTRING (-2.5919179 51.4576936, -2.5919906 51.4577793, -2.5919914 51.4578095, -2.591962 51.4578508, -2.5919169 51.4578754)",1,,,,,,,0.009627006751317186,0.8,#66bd63
"[37354499, 572213301]",service,20 mph,Union Street,False,False,22.46,32.1868,2.512,"LINESTRING (-2.5919179 51.4576936, -2.5920306 51.4577229, -2.5921501 51.4577495, -2.5921603 51.4577514, -2.5922227 51.4577616)",,,,,,,,0.009627006751317186,0.8,#66bd63
"[3512236, 1458524044]",unclassified,20 mph,Union Street,False,True,74.52,32.1868,8.335,"LINESTRING (-2.5919179 51.4576936, -2.591787 51.4575362, -2.5915653 51.4572748, -2.5915109 51.4572225, -2.5914231 51.4570992)",,,,,,,,0.016561333688975752,0.6,#d9ef8b
4322380,unclassified,20 mph,Fairfax Street,False,True,29.43,32.1868,3.292,"LINESTRING (-2.5882945 51.4565938, -2.5883414 51.456613, -2.5884014 51.4566251, -2.5884648 51.456623, -2.5885806 51.4565848, -2.5886734 51.4565467)",2,,,,,,,0.007871538260637306,0.8,#66bd63
"[1326368872, 665168406]","['footway', 'pedestrian']",,Merchant Street,False,True,50.31,32.18679999999999,5.627,"LINESTRING (-2.5882945 51.4565938, -2.5882767 51.4566173, -2.5882868 51.4566552, -2.5884732 51.4568708, -2.5885701 51.4570006)",,,,,,,,0.008108677812534451,0.8,#66bd63
